Type,ID,Name,Address,Category,Price,AreaCode,Dates,Description
Accommodation,2671267,가락청,전북특별자치도 전주시 완산구 한지길 68 (풍남동3가),B02011600,64000,37,N/A,N/A
Accommodation,2627867,가람나무,경기도 파주시 소라지로327번길 126-21 (송촌동),B02011600,63000,31,N/A,N/A
Accommodation,1865597,가람초연재,경상북도 안동시 풍천면 하회종가길 76-6 null,B02011600,119000,35,N/A,N/A
Accommodation,1896032,가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10 null,Guesthouse,160000,39,N/A,N/A
Accommodation,582215,가리왕산이야기 펜션,강원특별자치도 정선군 정선읍 청량길 32 null,Guesthouse,187000,32,N/A,N/A
Accommodation,2950408,가비원모텔[한국관광 품질인증/Korea Quality],경상남도 하동군 화개로 13 null,B02010900,240000,36,N/A,N/A
Accommodation,136485,가야호텔,경상북도 성주군 수륜면 가야산식물원길 52 null,Hotel,118000,35,N/A,N/A
Accommodation,2707444,가영당,충청북도 청주시 청원구 오창읍 미래지로 71-54 null,B02011600,178000,33,N/A,N/A
Accommodation,2593271,가은채,전북특별자치도 전주시 완산구 한지길 68-13 (풍남동3가),B02011600,218000,37,N/A,N/A
Accommodation,2593272,가은채2,전북특별자치도 전주시 완산구 한지길 100-20 (풍남동3가) null,B02011600,212000,37,N/A,N/A
Accommodation,2376711,가을동화펜션,강원특별자치도 평창군 봉평면 흥정계곡길 72 null,Guesthouse,174000,32,N/A,N/A
Accommodation,2708335,가재와곰펜션,강원특별자치도 평창군 봉평면 흥정계곡4길 212-27 null,Guesthouse,141000,32,N/A,N/A
Accommodation,1351349,가족사랑바다체험펜션,경상남도 남해군 삼동면 죽방로 495 null,Guesthouse,127000,36,N/A,N/A
Accommodation,3102216,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,경기도 가평군 북면 꽃넘이길 115-82 가둘기정원,Guesthouse,197000,,N/A,N/A
Accommodation,1979670,가평 하이랜드,경기도 가평군 북면 가화로 2369-19 null,B02010900,95000,31,N/A,N/A
Accommodation,2814152,가평미라몬티풀빌라펜션,경기도 가평군 가화로 1364-59 null,Guesthouse,86000,31,N/A,N/A
Accommodation,3532761,가평풀빌라스테이청평,경기도 가평군 청평면 호명리길 151 null,Guesthouse,191000,31,N/A,N/A
Accommodation,2579457,갈모봉 힐링스테이,경상남도 고성군 고성읍 이당5길 149-21 null,Guesthouse,112000,36,N/A,N/A
Accommodation,3533129,감성보다 양평서종점,경기도 양평군 서종면 당산공원길 21-52 null,B02011600,99000,31,N/A,N/A
Accommodation,1122064,강가에 하얀집 펜션,강원특별자치도 영월군 영월읍 선돌길 83-9 null,Guesthouse,188000,32,N/A,N/A
Accommodation,940259,강가의성,강원특별자치도 홍천군 북방면 굴지강변로 281 null,Guesthouse,65000,32,N/A,N/A
Accommodation,2574118,강남스테이힐(Gangnam Stay Hill),"서울특별시 강남구 테헤란로13길 65 (역삼동)1, 2층",Camping,234000,1,N/A,N/A
Accommodation,2650614,강남아르누보씨티호텔,서울특별시 서초구 서초대로74길 49 (서초동) null,Hotel,195000,1,N/A,N/A
Accommodation,2570638,강령전,전북특별자치도 전주시 완산구 태조로 26-24 (풍남동3가) null,B02011600,242000,37,N/A,N/A
Accommodation,2913612,강릉 로뎀나무 펜션,강원특별자치도 강릉시 해안로621번길 12 (안현동) null,Guesthouse,234000,32,N/A,N/A
Accommodation,2574326,개울한옥민박,전라남도 해남군 옥천면 도림길 81 null,B02011600,103000,38,N/A,N/A
Accommodation,3102050,객리당,전북특별자치도 전주시 완산구 태진로 26 (태평동) 2동,B02011600,215000,37,N/A,N/A
Accommodation,139867,갤러리&펜션 풍경소리,강원특별자치도 인제군 기린면 설피밭길 661 null,Guesthouse,144000,32,N/A,N/A
Accommodation,628541,갤러리하우스모텔,강원특별자치도 화천군 화천읍 중앙로2길 31-10 null,B02010900,72000,32,N/A,N/A
Accommodation,139224,갤럭시 모텔,강원특별자치도 정선군 사북읍 소금강로 3489 null,B02010900,145000,32,N/A,N/A
Accommodation,3105325,갬성하우스,"강원특별자치도 원주시 이화5길 34-7 (단계동) 201호, 갬성하우스",Guesthouse,53000,,N/A,N/A
Accommodation,2575042,갯내음 펜션,경상남도 통영시 산양읍 논아랫개길 134-51 null,Guesthouse,109000,36,N/A,N/A
Accommodation,945148,갯벌부흥펜션,충청남도 태안군 남면 진산1길 195-14 null,Guesthouse,85000,34,N/A,N/A
Accommodation,2593235,거목장민박,전라남도 해남군 삼산면 민박촌길 63 null,B02011600,211000,38,N/A,N/A
Accommodation,3438571,거북이 한옥,충청남도 보령시 절터길 41 (요암동) null,B02011600,137000,,N/A,N/A
Accommodation,3470382,거제 돔 관광호텔,경상남도 거제시 일운면 거제대로 2372 null,Hotel,128000,36,N/A,N/A
Accommodation,3470410,거제 선셋한옥&오션리조트,경상남도 거제시 하청면 연하해안로 1076-1 null,Guesthouse,121000,36,N/A,N/A
Accommodation,397642,거제 썬트리팜리조트,경상남도 거제시 남부면 거제대로 283 null,B02010600,156000,36,N/A,N/A
Accommodation,142984,거제관광호텔,경상남도 거제시 거제중앙로 1898-5 null,Hotel,210000,36,N/A,N/A
Accommodation,1855463,거제더비치펜션,경상남도 거제시 장목면 거제북로 2738-1 null,Guesthouse,115000,36,N/A,N/A
Accommodation,138703,거제도 펜션팔색조,경상남도 거제시 일운면 북병산로 460 null,Guesthouse,244000,36,N/A,N/A
Accommodation,139689,거제도섬마을펜션,경상남도 거제시 일운면 거제대로 1988-10 null,Guesthouse,110000,36,N/A,N/A
Accommodation,2578477,거제뷰골프텔,경상남도 거제시 거제면 두동로 259-80 null,Motel,227000,36,N/A,N/A
Accommodation,143125,거제삼성호텔,경상남도 거제시 장평3로 80-37 null,Hotel,107000,36,N/A,N/A
Accommodation,3044521,거제스테이,"경상남도 거제시 거제중앙로17길 5 (고현동) 거제스테이 3, 4, 5층",B02010900,191000,36,N/A,N/A
Accommodation,2578490,거제오션호텔,경상남도 거제시 옥포로2길 13 null,Hotel,60000,36,N/A,N/A
Accommodation,3103316,거창서핑파크,경상남도 거창군 위천면 거차1길 23-18 null,Guesthouse,231000,36,N/A,N/A
Accommodation,3438584,건축의 선율,전북특별자치도 전주시 완산구 최명희길 11-3 (풍남동3가) null,B02011600,165000,,N/A,N/A
Accommodation,2664520,게스트145,광주광역시 동구 구성로194번길 19 (대인동),Camping,54000,5,N/A,N/A
Accommodation,2569003,게스트하우스 play at home(플레이앳홈),경상북도 안동시 금곡길 21-8 (금곡동),Camping,208000,35,N/A,N/A
Accommodation,2600730,게스트하우스 리좀,경상남도 창원시 마산합포구 동서북14길 24 4층 (동성동),Camping,124000,36,N/A,N/A
Accommodation,3102121,게스트하우스 만나,대구광역시 중구 명륜로 121-37 (봉산동) null,Camping,180000,,N/A,N/A
Accommodation,3101943,게스트하우스 몽자,서울특별시 용산구 보광로50길 3 (이태원동) null,Camping,219000,,N/A,N/A
Accommodation,2569871,게스트하우스 소설여행,전북특별자치도 군산시 월명로 516-1 (신흥동),Camping,52000,37,N/A,N/A
Accommodation,2607620,게스트하우스강남,"서울특별시 강남구 압구정로34길 33 (신사동,현대맨션) 22-2-2",Camping,116000,1,N/A,N/A
